ISBN,Title,Author,PublicationYear,Genre,Status
978-861-8777-67-4,Heart of Darkness,Charles Darwin,1963,Fantasy,Lost
978-741-4919-45-7,The Lord of the Rings,Seneca,1873,Romance,On Hold
978-443-6238-79-1,Frankenstein,Emily Brontë,1859,Historical Fiction,Checked Out
978-823-4505-18-6,The Count of Monte Cristo,John Steinbeck,1938,Philosophy,Lost
978-163-4388-63-6,The Ethics,Marcus Aurelius,1805,Science,Lost
978-588-1096-55-4,The Wayward Bus,Stephen Hawking,2013,Historical Fiction,Checked Out
978-599-4595-44-6,The Decameron,Harper Lee,1899,Sci-Fi,Lost
978-841-3704-69-2,The Communist Manifesto,Alexandre Dumas,1806,Historical Fiction,Available
978-185-8022-27-7,The Divine Comedy,Jane Austen,1866,Historical Fiction,On Hold
978-316-8449-51-5,Cannery Row,Leo Tolstoy,1992,Historical Fiction,On Hold
978-954-2341-70-0,The Antichrist,Jane Austen,1889,Romance,Available
978-899-1659-13-3,Catch-22,Charles Darwin,1805,Science,Checked Out
978-344-3068-70-1,Discourses,Mary Shelley,1919,Fantasy,On Hold
978-271-2876-30-4,Great Expectations,Miguel de Cervantes,1806,Fantasy,Lost
978-506-4249-19-9,The Expression of the Emotions,Charles Darwin,1960,Romance,Available
978-813-5941-97-9,The Odyssey,Adam Smith,1944,Fiction,On Hold
978-645-8018-94-5,Animal Farm,Gustave Flaubert,1965,Sci-Fi,Available
978-969-7882-72-1,The Hunchback of Notre-Dame,Gabriel García Márquez,1962,Philosophy,Checked Out
978-545-3885-76-4,Capital,Karl Marx,1937,Philosophy,Lost
978-546-5397-51-3,Jane Eyre,Leo Tolstoy,1915,Romance,Lost
978-683-7209-53-0,The Divine Comedy,Stephen Hawking,1883,Dystopian,Lost
978-317-6813-43-5,The Trial,Geoffrey Chaucer,1979,Fantasy,Available
978-629-4130-20-3,The Grand Design,Joseph Conrad,1925,Psychology,Checked Out
978-807-8800-92-7,Labyrinths,Adam Smith,1804,Classic,On Hold
978-326-7625-98-3,The Sun Also Rises,Plato,1948,Sci-Fi,Lost
978-666-9698-54-6,Meditations,John Steinbeck,1890,Philosophy,On Hold
978-413-5118-39-1,The Grand Design,Homer,1880,Classic,Checked Out
978-296-4545-71-4,The Grand Design,Miguel de Cervantes,1994,Psychology,On Hold
978-202-4180-47-3,The Red Pony,Fyodor Dostoevsky,1877,Fiction,Checked Out
978-380-1745-16-8,Beloved,Marcus Aurelius,1832,Biography,Lost
978-205-1200-83-4,Don Quixote,Ralph Ellison,1912,Sci-Fi,Checked Out
978-152-5136-71-1,Animal Farm,Virginia Woolf,1925,Classic,Available
978-255-3444-82-4,The Chronicles of Narnia,Oscar Wilde,1830,Psychology,Lost
978-720-4697-76-6,Labyrinths,Franz Kafka,1876,Science,Lost
978-412-1986-88-1,The Grapes of Wrath,Niccolò Machiavelli,1854,Fantasy,Available
978-260-4929-32-8,The Lord of the Rings,Charles Dickens,1800,Historical Fiction,Lost
978-805-8699-47-0,The Sound and the Fury,James Joyce,1980,Fantasy,Lost
978-172-4824-43-9,Beyond the Pleasure Principle,Karl Marx,1850,Historical Fiction,Available
